2021-09-27 19:28:37.427039 - abc
2021-09-27 19:28:43.326858 - abc
2021-09-27 19:34:47.083249 - abc
2021-09-27 20:10:12.018288 - Запуск программы
2021-09-27 20:14:02.524943 - Запуск программы
2021-09-27 20:14:02.524943 - Закрытие программы
2021-09-27 20:14:15.749488 - Запуск программы
2021-09-27 20:14:15.749488 - Закрытие программы
2021-09-27 20:17:55.827567 - Запуск программы
2021-09-27 20:17:55.827567 - Закрытие программы
2021-09-27 20:20:35.223613 - Запуск программы
2021-09-27 20:25:37.813358 - Запуск программы
2021-09-27 20:37:31.010236 - Запуск программы
2021-09-27 20:37:31.011233 - Закрытие программы
2021-09-27 20:37:47.833223 - Запуск программы
2021-09-27 20:37:47.833223 - Закрытие программы
2021-09-27 21:10:53.966090 - Запуск программы
2021-09-27 21:10:53.966090 - Закрытие программы
2021-09-27 21:11:45.742043 - Запуск программы
2021-09-27 21:11:45.742769 - Закрытие программы
2021-09-27 21:14:24.961370 - Запуск программы
2021-09-27 21:14:24.961370 - Закрытие программы
2021-09-27 21:23:45.477952 - Запуск программы
2021-09-27 21:23:45.477952 - Закрытие программы
2021-09-27 21:28:01.920277 - Запуск программы
2021-09-27 21:28:01.920277 - Закрытие программы
2021-09-27 21:44:33.932248 - Запуск программы
2021-09-27 21:44:33.932248 - Закрытие программы
2021-09-27 21:44:52.988471 - Запуск программы
2021-09-27 21:44:52.988471 - Закрытие программы
2021-09-27 21:46:07.698132 - Запуск программы
2021-09-27 21:46:07.699491 - Закрытие программы
2021-09-27 21:46:18.490775 - Запуск программы
2021-09-27 21:46:18.491690 - Закрытие программы
2021-09-27 21:46:24.903897 - Запуск программы
2021-09-27 21:46:24.904856 - Закрытие программы
2021-09-27 21:48:41.492025 - Запуск программы
2021-09-27 21:48:41.493025 - Закрытие программы
2021-09-27 21:48:45.126586 - Запуск программы
2021-09-27 21:48:45.127599 - Закрытие программы
2021-09-27 21:51:48.855666 - Запуск программы
2021-09-27 21:51:48.856663 - Закрытие программы
2021-09-27 21:51:52.316534 - Запуск программы
2021-09-27 21:51:52.316534 - Закрытие программы
2021-09-27 21:52:25.908886 - Запуск программы
2021-09-27 21:52:25.908886 - Закрытие программы
2021-09-27 21:54:36.857697 - Запуск программы
2021-09-27 21:54:36.857697 - Закрытие программы
2021-09-27 21:55:43.704972 - Запуск программы
2021-09-27 21:55:43.704972 - Закрытие программы
2021-09-27 22:34:10.213284 - Запуск программы
2021-09-27 22:34:10.214554 - Закрытие программы
